id,votante,alpha,dim_lat1,dim_lat2
293,Nelson Otoch,-9.451939e-05,-0.0041307183,-1.5256896
294,Nelson Pellegrino,0.0064459294,-1.8263737,0.06183682
295,Nelson Proença,0.0010148408,-0.8235517,-1.445924
296,Nelson Trad,-0.022969661,0.70934707,0.56852114
297,Neuton Lima,0.0001606874,-2.2042203,-2.1375356
298,Ney Lopes,3.5217963e-05,0.8342239,-2.9831643
299,Nice Lobão,-0.010135293,1.5546442,-3.0696929
300,Nicias Ribeiro,0.001747314,0.81597704,-4.423421
301,Nilmário Miranda,0.0010063793,-1.1558757,1.3495262
302,Nilo Coelho,0.007048193,-0.018713884,-1.3811544
303,Nilson Mourão,-0.00017136805,-3.8068516,1.7599992
304,Norberto Teixeira,-5.6296318e-05,-1.6309175e-05,-0.37696946
305,Odelmo Leão,0.01435154,2.6452746,-1.9364717
306,Odílio Balbinotti,0.011027151,-4.5105095,-1.260198
307,Olavo Calheiros,0.01794188,-2.5040376,-1.6527318
308,Olimpio Pires,-0.0027511152,1.0332075,1.7902182
309,Orlando Desconsi,-2.9018614e-05,-3.0965686,0.019021114
310,Orlando Fantazzini,0.008582465,0.6530409,-0.23399748
311,Osmar Serraglio,-0.04632274,-2.4511049,-2.2462647
312,Osmar Terra,-0.1352316,0.2856857,-2.2441251
313,Osório Adriano,-0.0029282307,0.8382762,-1.8432255
314,Osvaldo Biolchi,0.0022651223,-2.0805976,0.03375106
315,Osvaldo Sobrinho,0.00018279487,-3.2762153e-05,9.784339e-05
316,Padre Roque,-8.547677e-05,-0.5589284,-0.7396703
317,Paes Landim,-0.24614628,-2.4689283,-1.1581278
318,Pauderney Avelino,-0.04079156,0.7931448,-2.6493952
319,Paulo Baltazar,0.0001573549,-4.3761873,0.03405437
320,Paulo Braga,-3.5915255e-05,-0.1578066,-0.060192477
321,Paulo de Almeida,0.014530079,-0.33660087,0.8897338
322,Paulo Delgado,-0.01346426,-1.4219217,-0.40062103
323,Paulo Feijó,-0.00031965176,-0.79152596,-1.4509908
324,Paulo José Gouvêa,0.008754912,-2.0971606,1.0565721
325,Paulo Lessa,0.0002030118,-1.1382557e-05,-0.8447662
326,Paulo Magalhães,-0.25249767,-1.1795304,-1.6565354
327,Paulo Marinho,0.00010330818,-4.96161,1.395555
328,Paulo Paim,0.000113943424,-0.26638395,-0.10195226
329,Paulo Rocha,0.003043692,-4.6783714,1.3853759
330,Pedro Celso,-6.796612e-05,-0.65065575,-0.94061476
331,Pedro Corrêa,1.1299395e-05,-2.7157981,-0.8906535
332,Pedro Eugênio,-0.0069103288,-2.0890913,-0.61077887
333,Pedro Fernandes,-0.16755201,-1.9341508,-0.7308462
334,Pedro Henry,-0.01113567,-3.4681242,-0.35882288
335,Pedro Irujo,2.0747084e-05,-4.3020477,-0.002671743
336,Pedro Novais,-0.005978893,-1.2291963,-1.259175
337,Pedro Valadares,0.00019461662,1.3422732,-0.31071633
338,Philemon Rodrigues,0.0056537357,-0.99012667,-0.028582012
339,Pimentel Gomes,4.5279467e-05,-0.84783065,0.65052634
340,Pinheiro Landim,-4.297458e-05,-0.00040426326,-0.82214713
341,Pompeo de Mattos,0.14006321,-1.3125386,0.78441584
342,Professor Luizinho,5.6722893e-05,-2.2920117,-2.8967607
343,Rafael Guerra,-0.0036699665,1.3767353,-5.253059
344,Raimundo Gomes de Matos,0.0001522477,1.1827028,-3.589978
345,Raimundo Santos,-0.0006808484,-0.7618017,1.0287664
346,Reginaldo Germano,-0.018280843,-0.9621335,-1.0578802
347,Regis Cavalcante,-2.3547673e-05,0.0014650887,1.696578
348,Reinaldo Gripp,5.014075e-05,-2.5168126,-0.12348189
349,Remi Trinta,0.0025096633,-2.088632,0.41591212
350,Renato Vianna,-3.942124e-05,7.080971e-06,-0.66856176
351,Renildo Leal,0.00012584003,-1.8879186e-05,-0.35317484
352,Ricardo Barros,-0.08011283,0.2097247,-0.51632625
353,Ricardo Berzoini,0.013196908,-2.2268384,1.3417333
354,Ricardo Ferraço,0.019595202,-1.4313363,0.72098017
355,Ricardo Nagib Izar,0.0001411064,-3.7301042,-3.3383255
356,Ricarte de Freitas,0.010374742,-3.6516476,-0.1744483
357,Rita Camata,0.0032617564,0.87761843,-0.8843007
358,Robério Araújo,0.00067891803,-0.020917967,-1.0005773
359,Roberto Argenta,4.5125253e-05,-1.0930616,0.8973749
360,Roberto Pessoa,0.015594224,-1.0298517,-1.0239547
361,Roberto Rocha,-0.006523401,0.76073873,-4.8235955
362,Robson Tuma,0.0049466006,-0.6098867,-1.1883351
363,Rodrigo Maia,0.11760324,0.16902027,1.01958
364,Romel Anizio,0.00014086903,-2.1981275,-1.5963273
365,Romeu Queiroz,0.016762141,-4.250095,-1.0971504
366,Rommel Feijó,0.00026759767,-3.3747268,-2.4407506
367,Ronaldo Caiado,-0.006306893,1.5008035,-3.7178211
368,Ronaldo Santos,-4.941073e-05,-0.0057024714,-1.3475478
369,Ronaldo Vasconcellos,2.087517e-05,-1.2779745,2.3092306
370,Rose de Freitas,0.10928426,-0.76426804,-0.17787467
371,Rubem Medina,1.3601825e-05,5.102469e-07,-0.83012825
372,Rubens Bueno,0.029828608,0.32881495,0.37123108
373,Rubens Furlan,1.36863455e-05,-6.6905473e-06,1.9165983
374,Salatiel Carvalho,0.0006611073,-2.007444,-0.46060193
375,Salomão Cruz,0.00022545314,-0.021598397,-1.061814
376,Salvador Zimbaldi,-0.19739662,-1.4341714,0.30346775
377,Sampaio Dória,4.372978e-06,-0.1563091,-1.6134468
378,Santos Filho,6.665247e-05,-0.020074498,-1.1291121
379,Saraiva Felipe,0.07764995,-2.8755717,-0.719805
380,Saulo Coelho,9.527843e-05,-0.01940378,-1.1118488
381,Saulo Pedrosa,-3.067685e-05,-0.26170433,-0.4811964
382,Serafim Venzon,-1.0848731e-05,0.0760853,-1.5724072
383,Sérgio Barcellos,-3.540874e-05,-0.008858218,-0.005589676
384,Sérgio Miranda,-0.0034699398,1.2846079,-1.1721413
385,Sérgio Novais,2.83257e-05,1.109622e-06,3.266231e-06
386,Artur Sérgio Reis,0.00015027149,8.975308e-06,-1.6188712
387,Severino Cavalcanti,0.0037967432,-2.7091844,-0.0026656617
388,Silas Câmara,0.047791284,-1.3542932,-1.020505
389,Silvio Torres,0.016979575,0.48535693,-2.9120326
390,Simão Sessim,0.1244092,-1.8652962,-0.6709754
391,Socorro Gomes,-0.00022867338,-0.66208905,-0.08146022
392,Tânia Soares,-0.019871145,0.021690736,0.22663331
393,Telma de Souza,-5.574316e-07,-3.7835221,-0.7172439
394,Telmo Kirst,0.0051473556,-0.027060814,-1.8241541
395,Teté Bezerra,0.008983938,-3.157445,-0.5936907
396,Themístocles Sampaio,0.0053742146,-0.5955687,-0.95602757
397,Tilden Santiago,-3.6662088e-05,-0.4045768,-0.61757
398,Ursicino Queiroz,0.00021908275,-0.016632646,-0.7683565
399,Vadão Gomes,-0.00010808825,-1.6402804,-0.29236013
400,Valdeci Paiva,0.00016174541,-0.013622928,-1.1774893
401,Vanessa Grazziotin,-0.004808461,-0.53579223,0.15779066
402,Vic Pires Franco,0.017053487,1.5796647,-3.2362318
403,Vicente Arruda,-0.23811978,0.27607068,0.4740388
404,Vicente Caropreso,-0.000113909366,-0.9095718,-0.9573961
405,Vilmar Rocha,0.0013836086,0.48336452,-0.8314065
406,Virgílio Guimarães,0.03179704,0.6944483,-0.84971803
407,Vittorio Medioli,0.016722882,0.8003521,-1.7362989
408,Vivaldo Barbosa,1.359664e-05,1.0358735,1.8440008
409,Wagner Rossi,-9.9104e-05,-2.7091104e-05,-0.7004576
410,Waldemir Moka,0.047755007,0.13134448,-0.5435261
411,Waldir Pires,-4.7471585e-05,-0.4829997,-0.67821366
412,Walfrido Mares Guia,0.00029634163,-0.018545564,-0.91397244
413,Walter Pinheiro,-0.012841331,2.641338,-1.1511776
414,Wanderley Martins,-2.0077046e-05,1.7578238e-06,0.80207855
415,Wellington Dias,-0.00032448026,6.6820267e-06,-7.275946e-06
416,Werner Wanderer,1.8267212e-05,-0.014704852,-1.1346185
417,Wilson Braga,0.14490156,-0.13656287,0.8914868
418,Wilson Cignachi,0.006302077,-1.5616971,2.4733841
419,Wilson Santos,-0.0059236353,0.6211357,0.2656439
420,Wolney Queiroz,0.016444419,-0.9969901,0.9295993
421,Xico Graziano,0.0047157253,0.9008313,-1.9987963
422,Yeda Crusius,0.006738473,0.5377226,-3.9578059
423,Zé Índio,5.3509793e-05,-0.00459941,-1.572525
424,Zenaldo Coutinho,-0.1623747,1.0931721,-2.1032603
425,Adão Pretto,-0.0028471574,0.40032962,-1.0625442
426,Alberto Goldman,0.00020824067,0.5748684,-2.1617227
